speaker_id,audio_path,image_path,text_path,sex,duration,lip_image_path
0,./audios/000/2_4.wav,./images/000/2_4,./transcription/template_2/4.txt,male,4.38,./lip_images/000/2_4
0,./audios/000/2_54.wav,./images/000/2_54,./transcription/template_2/54.txt,male,5.76,./lip_images/000/2_54
0,./audios/000/2_39.wav,./images/000/2_39,./transcription/template_2/39.txt,male,4.98,./lip_images/000/2_39
0,./audios/000/2_66.wav,./images/000/2_66,./transcription/template_2/66.txt,male,8.94,./lip_images/000/2_66
0,./audios/000/2_81.wav,./images/000/2_81,./transcription/template_2/81.txt,male,9.6,./lip_images/000/2_81
0,./audios/000/2_43.wav,./images/000/2_43,./transcription/template_2/43.txt,male,4.8,./lip_images/000/2_43
0,./audios/000/2_53.wav,./images/000/2_53,./transcription/template_2/53.txt,male,5.82,./lip_images/000/2_53
0,./audios/000/2_95.wav,./images/000/2_95,./transcription/template_2/95.txt,male,10.74,./lip_images/000/2_95
0,./audios/000/2_64.wav,./images/000/2_64,./transcription/template_2/64.txt,male,8.28,./lip_images/000/2_64
0,./audios/000/2_78.wav,./images/000/2_78,./transcription/template_2/78.txt,male,8.34,./lip_images/000/2_78
0,./audios/000/2_73.wav,./images/000/2_73,./transcription/template_2/73.txt,male,8.82,./lip_images/000/2_73
0,./audios/000/2_47.wav,./images/000/2_47,./transcription/template_2/47.txt,male,7.32,./lip_images/000/2_47
0,./audios/000/2_0.wav,./images/000/2_0,./transcription/template_2/0.txt,male,3.72,./lip_images/000/2_0
0,./audios/000/2_99.wav,./images/000/2_99,./transcription/template_2/99.txt,male,11.46,./lip_images/000/2_99
0,./audios/000/2_37.wav,./images/000/2_37,./transcription/template_2/37.txt,male,5.46,./lip_images/000/2_37
0,./audios/000/2_46.wav,./images/000/2_46,./transcription/template_2/46.txt,male,5.4,./lip_images/000/2_46
0,./audios/000/2_55.wav,./images/000/2_55,./transcription/template_2/55.txt,male,7.14,./lip_images/000/2_55
0,./audios/000/2_50.wav,./images/000/2_50,./transcription/template_2/50.txt,male,7.02,./lip_images/000/2_50
0,./audios/000/2_61.wav,./images/000/2_61,./transcription/template_2/61.txt,male,7.14,./lip_images/000/2_61
0,./audios/000/2_82.wav,./images/000/2_82,./transcription/template_2/82.txt,male,9.3,./lip_images/000/2_82
0,./audios/000/2_67.wav,./images/000/2_67,./transcription/template_2/67.txt,male,7.92,./lip_images/000/2_67
0,./audios/000/2_72.wav,./images/000/2_72,./transcription/template_2/72.txt,male,8.76,./lip_images/000/2_72
0,./audios/000/2_76.wav,./images/000/2_76,./transcription/template_2/76.txt,male,8.34,./lip_images/000/2_76
0,./audios/000/2_31.wav,./images/000/2_31,./transcription/template_2/31.txt,male,4.68,./lip_images/000/2_31
0,./audios/000/2_97.wav,./images/000/2_97,./transcription/template_2/97.txt,male,10.08,./lip_images/000/2_97
0,./audios/000/2_6.wav,./images/000/2_6,./transcription/template_2/6.txt,male,3.18,./lip_images/000/2_6
0,./audios/000/2_40.wav,./images/000/2_40,./transcription/template_2/40.txt,male,6.84,./lip_images/000/2_40
0,./audios/000/2_20.wav,./images/000/2_20,./transcription/template_2/20.txt,male,4.62,./lip_images/000/2_20
0,./audios/000/2_15.wav,./images/000/2_15,./transcription/template_2/15.txt,male,4.32,./lip_images/000/2_15
0,./audios/000/2_11.wav,./images/000/2_11,./transcription/template_2/11.txt,male,2.76,./lip_images/000/2_11
0,./audios/000/2_86.wav,./images/000/2_86,./transcription/template_2/86.txt,male,9.9,./lip_images/000/2_86
